36.258, 25.01, N.A.
45.919, 25.874, N.A.
37.247, N/A, N.A.
39.137, N/A, N.A.
51.975, N/A, N.A.
18.633, 6.777, 6
21.372, 5.793, N.A.
25.459, 5.764, N.A.
23.47, 18.009, 32
36.048, 14.343, N.A.
46.699, 12.254, N.A.
23.419, 17.646, N.A.
36.359, 14.348, N.A.
43.191, 12.206, N.A.
23.498, 17.634, N.A.
37.196, 14.373, N.A.
44.663, 12.178, N.A.
32.092, 40.014, N.A.
65.732, 31.213, N.A.
55.363, 20.627, N.A.
43.197, 39.841, 43
50.311, 40.094, N.A.
75.053, 34.265, N.A.
45.143, 39.827, N.A.
56.404, 40.195, N.A.
74.494, 36.867, N.A.
44.987, 40.159, N.A.
52.17, 40.445, N.A.
74.43, 35.935, N.A.
78.535, 93.038, N.A.
103.565, 92.829, N.A.
113.196, 69.224, N.A.
295.381, 156.883, 787
277.755, 154.871, N.A.
21.321, 4.224, 6
20.894, 5.297, N.A.
84.664, 33.949, 22
212.748, 34.612, N.A.
37.159, 25.709, 21
44.07, 31.977, N.A.
58.484, 37.172, N.A.
53.638, 44.076, 36
68.41, 53.093, N.A.
85.17, 53.735, N.A.
28.1, 16.845, 14
32.112, 17.149, N.A.
45.454, 24.703, N.A.
20.065, 7.907, 7
29.332, 6.918, N.A.
20.68, 3.794, N.A.
22.152, 10.983, 9
51.233, 15.553, N.A.
28.376, 7.861, N.A.
21.926, 11.125, 15
58.006, 12.672, N.A.
29.668, 8.162, N.A.
20.524, 10.328, 8
29.504, 9.521, N.A.
22.617, 7.124, N.A.
27.611, 16.803, 153
83.12, 16.428, N.A.
30.135, 9.087, N.A.
20.108, 8.089, 10
24.229, 7.052, N.A.
20.618, 5.331, N.A.
26.824, 14.728, 15
27.868, 13.205, N.A.
40.097, 19.267, N.A.
204.728, 210.8, 172
197.763, N/A, N.A.
265.058, 202.955, N.A.
68.402, 63.484, 54
81.839, 68.066, N.A.
112.312, 74.832, N.A.
82.017, 77.072, 58
84.555, 68.94, N.A.
130.029, 88.206, N.A.
375.252, 404.086, 464
448.08, N/A, N.A.
577.36, 419.762, N.A.
144.151, 94.706, 192
501.36, 56.957, N.A.
131.767, 123.028, 275
153.466, 134.323, N.A.
257.53, 115.561, N.A.
172.827, 139.982, 268
160.262, 144.151, N.A.
261.974, 122.835, N.A.
249.798, 240.999, 1228
312.018, N/A, N.A.
493.656, 243.883, N.A.
56.152, 38.887, 168
128.914, 87.481, N.A.
92.549, 45.168, N.A.
18.95, 5.29, 6
23.144, 5.516, N.A.
20.87, 5.976, N.A.
19.92, 8.366, 16
30.931, 7.606, N.A.
27.932, 7.902, N.A.
20.316, 7.082, 15
26.578, 7.94, N.A.
31.229, 8.325, N.A.
19.285, 6.248, 10
30.096, 6.576, N.A.
23.465, 7.391, N.A.
20.397, 7.141, 15
26.535, 8.066, N.A.
34.123, 8.116, N.A.
24.804, 12.085, 57
40.942, 14.11, N.A.
40.87, 18.183, N.A.
32.189, 18.327, 38
34.136, 18.011, N.A.
51.775, 20.812, N.A.
31.332, 18.124, 39
39.294, 20.197, N.A.
51.614, 20.763, N.A.
49.755, 32.445, 168
55.465, 38.868, N.A.
91.869, 42.344, N.A.
24.892, 12.662, 57
57.676, 14.748, N.A.
40.752, 16.876, N.A.
25.067, 6.506, 6
42.556, 7.426, N.A.
22.815, 5.348, N.A.
26.52, 6.227, 6
95.532, 85.238, 65
91.854, 76.424, N.A.
137.079, 100.457, N.A.
1354.113, 1658.532, 4145
1641.741, 1430.728, N.A.
2156.537, 1284.127, N.A.
20.111, 6.747, 14
29.34, 7.274, N.A.
24.534, 7.464, N.A.
19.896, 6.736, N.A.
29.21, 7.267, N.A.
24.625, 7.437, N.A.
20.196, 6.727, N.A.
30.015, 7.275, N.A.
24.795, 7.423, N.A.
20.058, 6.731, 14
28.951, 7.285, N.A.
24.58, 7.464, N.A.
20.321, 6.739, N.A.
29.836, 7.361, N.A.
24.519, 7.416, N.A.
20.214, 6.736, N.A.
29.065, 7.274, N.A.
24.641, 7.466, N.A.
21.211, 9.95, 16
60.94, 9.99, N.A.
32.804, 10.929, N.A.
27.459, 13.726, 15
28.68, 11.523, N.A.
43.413, 18, N.A.
19.61, 6.398, 9
31.088, 9.076, N.A.
27.247, 8.405, N.A.
19.11, 5.443, 6
23.09, 6.565, N.A.
29.58, 6.794, N.A.
21.089, 6.813, 7
21.586, 7.955, N.A.
31.375, 9.976, N.A.
24.451, 8.868, 15
32.702, 11.728, N.A.
40.204, 16.856, N.A.
24.432, 8.829, N.A.
32.902, 11.745, N.A.
45.142, 16.931, N.A.
24.891, 8.866, 15
32.817, 11.749, N.A.
40.698, 18.559, N.A.
24.658, 9.143, N.A.
32.711, 11.918, N.A.
40.137, 18.327, N.A.
37.17, 18.997, 34
55.45, 22.597, N.A.
59.948, 31.327, N.A.
32.076, 20.109, 20
32.409, 24.676, N.A.
50.054, 23.912, N.A.
47.02, 34.634, 39
51.582, 33.337, N.A.
80.608, 46.886, N.A.
49.516, 34.674, 39
52.304, 36.596, N.A.
76.418, 47.612, N.A.
87.321, 77.261, 87
96.063, 76.391, N.A.
141.803, 97.564, N.A.
35.537, 23.295, 37
77.751, 30.75, N.A.
62.965, 33.37, N.A.
19.007, 5.844, 6
21.797, 5.099, N.A.
20.072, 5.275, N.A.
23.465, 5.217, 6
24.536, 4.706, N.A.
